dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
covid,37.76,83.50,98.72,17.35,96.59
nearood,37.76,83.50,98.72,17.35,96.59
cifar10,78.72,89.31,87.91,86.10,96.59
farood,78.72,89.31,87.91,86.10,96.59
