dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
covid,0.59,99.78,99.98,93.61,96.59
nearood,0.59,99.78,99.98,93.61,96.59
cifar10,0.09,99.98,99.98,99.97,96.59
farood,0.09,99.98,99.98,99.97,96.59
