dataset,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
covid,37.58,83.60,98.73,17.44,96.59
nearood,37.58,83.60,98.73,17.44,96.59
cifar10,79.43,89.25,87.75,86.14,96.59
farood,79.43,89.25,87.75,86.14,96.59
